label,lon,lat
A,-165.8884533333,-1.6669066667
A,-165.8859733333,-1.6681066667
A,-165.8834133333,-1.6693066667
A,-165.87944,-1.6712
A,-165.8781066667,-1.67184
A,-165.8757066667,-1.67296
A,-165.8263833333,-1.6967666667
A,-165.82355,-1.6981333333
A,-165.8213833333,-1.6992166667
A,-165.8188833333,-1.7004
A,-165.8156333333,-1.702
A,-165.8132,-1.7032333333
A,-165.81105,-1.7042666667
A,-165.8077333333,-1.7059
A,-165.8027333333,-1.7084
A,-165.7999466667,-1.70984
A,-165.7986133333,-1.7104533333
A,-165.7970133333,-1.7112533333
A,-165.7945066667,-1.7125066667
A,-165.79208,-1.7137066667
A,-165.77365,-1.7227
A,-165.7496,-1.7345
A,-165.7235,-1.7472333333
A,-165.69275,-1.7616166667
A,-165.6892333333,-1.7611333333
A,-165.68725,-1.7586333333
A,-165.6864333333,-1.7570166667
A,-165.6795333333,-1.7590333333
A,-165.6265666667,-1.78695
A,-165.5827733333,-1.8103466667
A,-165.58,-1.8118666667
A,-165.57792,-1.8129866667
A,-165.5743466667,-1.8149066667
A,-165.5710933333,-1.81664
A,-165.5657866667,-1.81952
A,-165.56384,-1.8205333333
A,-165.5605866667,-1.8222666667
A,-165.5589866667,-1.8231466667
A,-165.5566133333,-1.8244
A,-165.5541333333,-1.8257333333
A,-165.5497333333,-1.82808
A,-165.54936,-1.82832
A,-165.5466933333,-1.8298933333
A,-165.5446666667,-1.8310666667
A,-165.5342133333,-1.8376266667
A,-165.53184,-1.8391733333
A,-165.5304,-1.84016
A,-165.5277333333,-1.8419733333
A,-165.5257866667,-1.8432533333
A,-165.5234666667,-1.8448
A,-165.5208533333,-1.8465866667
A,-165.5189333333,-1.8478933333
A,-165.5165866667,-1.8494666667
A,-165.5140533333,-1.8511733333
A,-165.5120533333,-1.8525866667
A,-165.50984,-1.8541066667
A,-165.5074933333,-1.8557333333
A,-165.5049866667,-1.85744
A,-165.5029866667,-1.8587466667
A,-165.5006666667,-1.8602666667
A,-165.4984,-1.8617066667
A,-165.4941,-1.8644
A,-165.4821,-1.8720666667
A,-165.4785333333,-1.87424
A,-165.47672,-1.8753066667
A,-165.4750666667,-1.8762666667
A,-165.47264,-1.8777066667
A,-165.46952,-1.87952
A,-165.4670666667,-1.8810133333
A,-165.46552,-1.88192
A,-165.4631733333,-1.8833333333
A,-165.4608,-1.88472
A,-165.45792,-1.8864
A,-165.4317866667,-1.9018666667
A,-165.4297866667,-1.90304
A,-165.4266666667,-1.9048533333
A,-165.42304,-1.90696
A,-165.42064,-1.90832
A,-165.42024,-1.9085066667
A,-165.4173866667,-1.9100533333
A,-165.4141066667,-1.91184
A,-165.4129066667,-1.91248
A,-165.4109066667,-1.9135733333
A,-165.4084533333,-1.91488
A,-165.4060533333,-1.9161866667
A,-165.4032266667,-1.9177066667
A,-165.4004,-1.9192
A,-165.39872,-1.9201333333
A,-165.39624,-1.9214666667
A,-165.39344,-1.92296
A,-165.3913866667,-1.92408
A,-165.3748,-1.9329066667
A,-165.3739733333,-1.93336
A,-165.3711733333,-1.9348
A,-165.3690666667,-1.9359466667
A,-165.3662933333,-1.9374133333
A,-165.3642666667,-1.93848
A,-165.36225,-1.9395333333
A,-165.3593866667,-1.9410666667
A,-165.35704,-1.9423466667
A,-165.35504,-1.94336
A,-165.3522133333,-1.9448
A,-165.3481866667,-1.94688
A,-165.3465333333,-1.9477333333
A,-165.3441333333,-1.9489866667
A,-165.3429066667,-1.9496
A,-165.3404,-1.9509066667
A,-165.3379733333,-1.9521333333
A,-165.33472,-1.95384
A,-165.3321866667,-1.95512
A,-165.33056,-1.9559466667
A,-165.3260533333,-1.95824
A,-165.3256533333,-1.9584533333
A,-165.32248,-1.9601066667
A,-165.3183733333,-1.96224
A,-165.31536,-1.9637333333
A,-165.2961333333,-1.97416
A,-165.2936533333,-1.9755733333
A,-165.2916533333,-1.97664
A,-165.2892,-1.9779733333
A,-165.2868533333,-1.97928
A,-165.2816266667,-1.9822133333
A,-165.2797066667,-1.98328
A,-165.2772533333,-1.9846666667
