lon_bin,lat_bin,hours
-179.5,37.5,161.13486111111115
-179.5,38.5,226.99513888888887
-179.5,39.5,571.3945833333333
-179.5,40.5,79.92305555555555
-179.5,41.5,32.692916666666676
-179.5,42.5,78.08597222222224
-179.5,51.5,478.2477777777778
-179.5,52.5,2156.873888888889
-179.5,53.5,44.79527777777777
-179.5,54.5,7.391249999999999
-179.5,59.5,6.42263888888889
-179.5,60.5,6085.067638888889
-179.5,61.5,13400.599444444444
-179.5,62.5,6078.15125
-179.5,63.5,4181.874444444445
-179.5,64.5,1689.4129166666667
-179.5,65.5,530.6051388888889
-179.5,66.5,103.96874999999999
-179.5,72.5,1.5395833333333337
-179.5,74.5,7.41194444444444
-178.5,-77.5,14.184444444444443
-178.5,-76.5,10.024722222222222
-178.5,-75.5,5.126944444444444
-178.5,-74.5,1.4931944444444447
-178.5,-73.5,3.8927777777777774
-178.5,-72.5,151.3094444444444
-178.5,-71.5,37.33194444444445
-178.5,-70.5,19.47416666666667
-178.5,-69.5,25.42652777777778
-178.5,-68.5,0.7423611111111124
-178.5,-67.5,7.292083333333332
-178.5,-66.5,4.165277777777778
-178.5,-65.5,124.5738888888889
-178.5,-64.5,5.9491666666666685
-178.5,-56.5,2.5905555555555555
-178.5,-55.5,6.343888888888888
-178.5,-51.5,8.628888888888891
-178.5,-50.5,11.168055555555558
-178.5,-49.5,2.0520833333333317
-178.5,-48.5,2.9130555555555566
-178.5,-45.5,3.019305555555554
-178.5,-44.5,725.6033333333334
-178.5,-43.5,2962.8405555555555
-178.5,-42.5,416.0302777777778
-178.5,-41.5,5.9087499999999995
-178.5,-40.5,2.862083333333332
-178.5,-39.5,8.413333333333332
-178.5,-38.5,0.355833333333333
-178.5,-36.5,3.640694444444446
-178.5,-35.5,47.59194444444442
-178.5,-34.5,27.248888888888896
-178.5,-33.5,5.567083333333333
-178.5,-32.5,6.727777777777773
-178.5,-31.5,4.424166666666668
-178.5,-30.5,20.4025
-178.5,-29.5,19.071250000000006
-178.5,-28.5,13.035000000000005
-178.5,-27.5,3.9831944444444436
-178.5,-26.5,54.34666666666667
-178.5,-25.5,278.5940277777778
-178.5,-24.5,54.141111111111115
-178.5,-23.5,48.553750000000036
-178.5,-22.5,100.80597222222224
-178.5,-21.5,362.68874999999997
-178.5,-20.5,464.2690277777778
-178.5,-19.5,933.8331944444443
-178.5,-18.5,1260.5111111111112
-178.5,-17.5,1917.70375
-178.5,-16.5,1824.5744444444445
-178.5,-15.5,2147.730972222222
-178.5,-14.5,634.901111111111
-178.5,-13.5,709.6130555555555
-178.5,-12.5,446.9841666666667
-178.5,-11.5,513.38
-178.5,-10.5,2425.712361111111
-178.5,-9.5,2226.741666666667
-178.5,-8.5,3129.7609722222223
-178.5,-7.5,3285.752361111111
-178.5,-6.5,2379.212777777778
-178.5,-5.5,5562.831527777778
-178.5,-4.5,10362.11638888889
-178.5,-3.5,8597.413888888888
-178.5,-2.5,2177.360416666667
-178.5,-1.5,67.39416666666669
-178.5,-0.5,80.9972222222222
-178.5,0.5,62.9190277777778
-178.5,1.5,93.39888888888892
-178.5,2.5,156.50805555555556
-178.5,3.5,735.9265277777777
-178.5,4.5,4416.441805555555
-178.5,5.5,3672.623472222222
-178.5,6.5,996.5744444444445
-178.5,7.5,914.5430555555557
-178.5,8.5,258.78166666666664
-178.5,9.5,247.88027777777776
-178.5,10.5,386.49013888888885
-178.5,11.5,727.9461111111111
-178.5,12.5,2574.13125
